fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2015-09-03,13,15,2.4,MIGUEL,2015-09-03 13:00:00,2,
2015-09-17,11,14,0.4,ROBERTO,2015-09-17 11:00:00,3,
2015-09-19,11,15,25.2,MIGUEL,2015-09-19 11:00:00,4,
2015-09-23,12,15,8.2,DIEGO,2015-09-23 12:00:00,3,
2015-09-25,9,11,0.9,DIEGO,2015-09-25 09:00:00,2,
2015-09-26,1,3,3.2,JUAN,2015-09-26 01:00:00,2,
2015-10-03,2,10,13.0,ROBERTO,2015-10-03 02:00:00,8,
2015-10-07,14,15,1.0,JUAN,2015-10-07 14:00:00,1,
2015-10-20,13,17,6.0,DIEGO,2015-10-20 13:00:00,4,
2015-10-22,14,17,3.8,DIEGO,2015-10-22 14:00:00,3,
2015-10-24,12,14,3.6,JUAN,2015-10-24 12:00:00,2,
2015-10-24,20,22,0.8,JUAN,2015-10-24 20:00:00,2,
2015-10-26,11,14,5.1,MIGUEL,2015-10-26 11:00:00,3,
2015-10-27,13,14,0.4,MIGUEL,2015-10-27 13:00:00,1,
2015-10-28,13,16,9.9,MIGUEL,2015-10-28 13:00:00,3,
2015-10-29,0,3,5.9,MIGUEL,2015-10-29 00:00:00,3,
2015-10-30,0,2,4.0,MIGUEL,2015-10-30 00:00:00,2,
2015-11-01,4,6,1.6,ROBERTO,2015-11-01 04:00:00,2,
2015-11-03,1,3,7.0,ROBERTO,2015-11-03 01:00:00,2,
2015-11-08,11,15,1.2,DIEGO,2015-11-08 11:00:00,4,
2015-11-09,12,15,10.0,DIEGO,2015-11-09 12:00:00,3,
2015-11-11,2,5,11.0,ROBERTO,2015-11-11 02:00:00,3,
2015-11-12,2,6,12.0,ROBERTO,2015-11-12 02:00:00,4,
2015-11-14,13,16,1.3,MIGUEL,2015-11-14 13:00:00,3,
2015-11-15,7,9,1.2,MIGUEL,2015-11-15 07:00:00,2,
2015-11-15,12,13,7.9,MIGUEL,2015-11-15 12:00:00,1,
2015-11-21,16,17,10.2,JUAN,2015-11-21 16:00:00,1,
2015-11-26,11,13,17.3,MIGUEL,2015-11-26 11:00:00,2,
2015-11-27,13,15,2.4,MIGUEL,2015-11-27 13:00:00,2,
2015-12-02,10,16,19.2,JUAN,2015-12-02 10:00:00,6,
2015-12-04,11,16,9.3,DIEGO,2015-12-04 11:00:00,5,
2015-12-08,19,20,2.0,ROBERTO,2015-12-08 19:00:00,1,
2015-12-12,0,3,3.6,MIGUEL,2015-12-12 00:00:00,3,
