fecha,observador,mult_obs
2015-09-01,MIGUEL,0
2015-09-02,MIGUEL,0
2015-09-03,MIGUEL,0
2015-09-04,ROBERTO,0
2015-09-05,ROBERTO,0
2015-09-06,ROBERTO,0
2015-09-07,JUAN,0
2015-09-08,JUAN,0
2015-09-09,JUAN,0
2015-09-10,JUAN,0
2015-09-11,DIEGO,0
2015-09-12,DIEGO,0
2015-09-13,DIEGO,0
2015-09-14,ROBERTO,0
2015-09-15,ROBERTO,0
2015-09-16,ROBERTO,0
2015-09-17,ROBERTO,0
2015-09-18,ROBERTO,0
2015-09-19,MIGUEL,0
2015-09-20,MIGUEL,0
2015-09-21,MIGUEL,0
2015-09-22,DIEGO,0
2015-09-23,DIEGO,0
2015-09-24,DIEGO,0
2015-09-25,DIEGO,0
2015-09-26,JUAN,0
2015-09-27,JUAN,0
2015-09-28,JUAN,0
2015-09-29,MIGUEL,0
2015-09-30,MIGUEL,0
2015-10-01,MIGUEL,0
2015-10-02,MIGUEL,0
2015-10-03,ROBERTO,0
2015-10-04,ROBERTO,0
2015-10-05,ROBERTO,0
2015-10-06,JUAN,0
2015-10-07,JUAN,0
2015-10-08,JUAN,0
2015-10-09,DIEGO,0
2015-10-10,DIEGO,0
2015-10-11,DIEGO,0
2015-10-12,DIEGO,0
2015-10-13,ROBERTO,0
2015-10-14,ROBERTO,0
2015-10-15,ROBERTO,0
2015-10-16,ROBERTO,0
2015-10-17,MIGUEL,0
2015-10-18,MIGUEL,0
2015-10-19,MIGUEL,0
2015-10-20,DIEGO,0
2015-10-21,DIEGO,0
2015-10-22,DIEGO,0
2015-10-23,JUAN,0
2015-10-24,JUAN,0
2015-10-25,JUAN,0
2015-10-26,MIGUEL,0
2015-10-27,MIGUEL,0
2015-10-28,MIGUEL,0
2015-10-29,MIGUEL,0
2015-10-30,MIGUEL,0
2015-10-31,ROBERTO,0
2015-11-01,ROBERTO,0
2015-11-02,ROBERTO,0
2015-11-03,ROBERTO,0
2015-11-04,JUAN,0
2015-11-05,JUAN,0
2015-11-06,DIEGO,0
2015-11-07,DIEGO,0
2015-11-08,DIEGO,0
2015-11-09,DIEGO,0
2015-11-10,ROBERTO,0
2015-11-11,ROBERTO,0
2015-11-12,ROBERTO,0
2015-11-13,ROBERTO,0
2015-11-14,MIGUEL,0
