,fecha,duracion,acum
0,2023-01-01,3,0.4
1,2023-01-02,1,0.6
2,2023-01-02,5,12.2
3,2023-01-04,1,6.0
4,2023-01-05,3,4.2
5,2023-01-06,5,3.0
6,2023-01-08,2,2.5
7,2023-01-10,1,0.0
8,2023-01-10,1,4.9
9,2023-01-19,2,7.2
10,2023-01-20,2,2.0
11,2023-01-23,1,1.8
12,2023-01-23,1,1.4
13,2023-01-25,1,1.4
14,2023-01-25,4,3.4
15,2023-01-26,1,1.6
16,2023-01-27,3,2.6
17,2023-01-28,6,6.6
18,2023-01-29,3,7.0
19,2023-01-30,3,5.4
20,2023-02-01,1,1.6
21,2023-02-01,10,33.2
22,2023-02-03,5,10.0
23,2023-02-05,2,0.0
24,2023-02-05,1,8.0
25,2023-02-07,5,9.6
26,2023-02-07,3,2.4
27,2023-02-08,2,7.0
28,2023-02-09,3,5.2
29,2023-02-10,1,0.6
30,2023-02-11,1,1.2
31,2023-02-12,1,0.2
32,2023-02-12,1,3.0
33,2023-02-13,3,2.0
34,2023-02-16,2,8.5
35,2023-02-16,1,2.0
36,2023-02-17,1,0.0
37,2023-02-18,0,1.0
38,2023-02-21,1,3.4
39,2023-02-22,1,1.9
40,2023-02-23,2,20.6
41,2023-03-08,1,0.6
42,2023-03-10,6,2.1
43,2023-03-11,2,2.3
44,2023-03-15,1,3.2
45,2023-03-17,3,2.8
46,2023-03-18,4,1.2
47,2023-03-19,6,3.2
48,2023-03-20,4,4.0
49,2023-03-21,3,4.4
50,2023-03-22,1,1.2
51,2023-03-28,2,8.8
52,2023-03-29,3,1.6
53,2023-03-30,3,7.8
54,2023-03-30,3,2.8
55,2023-03-31,1,0.6
56,2023-03-31,3,0.8
57,2023-04-01,3,0.4
58,2023-04-01,3,2.6
59,2023-04-02,3,3.4
60,2023-04-05,1,5.2
61,2023-04-08,1,4.4
62,2023-04-10,6,3.2
63,2023-05-03,0,4.3
64,2023-05-05,0,0.4
65,2023-05-05,5,2.6
66,2023-05-06,7,12.2
67,2023-05-06,8,14.6
68,2023-06-06,6,3.2
69,2023-05-09,1,5.4
70,2023-05-29,1,1.4
71,2023-07-30,5,1.8
72,2023-07-30,3,1.8
73,2023-08-06,2,2.3
74,2023-08-13,6,5.2
75,2023-09-06,1,2.0
76,2023-09-07,2,4.0
77,2023-09-07,2,2.5
78,2023-09-20,2,1.4
79,2023-09-21,1,0.2
80,2023-10-02,0,2.2
81,2023-10-03,1,0.2
82,2023-10-05,1,0.2
83,2023-10-20,3,2.8
84,2023-10-21,3,2.0
85,2023-10-22,2,0.8
86,2023-10-23,3,4.4
87,2023-10-25,2,0.8
88,2023-10-26,3,0.6
89,2023-11-04,4,6.0
90,2023-11-09,4,6.4
91,2023-11-10,1,1.0
92,2023-11-11,0,0.1
93,2023-11-13,3,2.8
94,2023-11-13,3,3.4
95,2023-11-16,6,3.4
96,2023-11-17,2,0.7
97,2023-11-22,1,0.8
98,2023-11-23,2,2.4
99,2023-11-24,1,1.2
100,2023-11-24,4,0.6
101,2023-11-24,9,7.2
102,2023-11-25,6,4.4
103,2023-11-27,4,6.4
104,2023-11-28,1,8.3
105,2023-11-29,2,5.9
106,2023-12-01,1,0.0
107,2023-12-01,4,3.2
108,2023-12-02,2,2.8
109,2023-12-02,10,18.0
110,2023-12-03,2,2.4
111,2023-12-03,0,2.4
112,2023-12-03,1,1.4
113,2023-12-04,2,1.1
114,2023-12-05,3,3.6
115,2023-12-05,5,5.8
116,2023-12-08,4,3.8
117,2023-12-11,5,15.8
118,2023-12-15,2,4.4
119,2023-12-15,3,11.8
120,2023-12-16,2,2.4
121,2023-12-17,4,4.5
122,2023-12-17,5,8.0
123,2023-12-18,2,3.2
124,2023-12-20,7,9.9
125,2023-12-27,6,1.6
126,2023-12-29,1,0.2
127,2023-12-30,5,3.2
128,2023-12-31,1,0.8
129,2023-12-31,11,11.0
